price	sold	low_est	high_est	artist	ydate
0.14	1	0.15	0.2	kolar	1982
0.09	0	0.15	0.2	kolar	1982
0.14	1	0.15	0.2	kolar	1982
2	1	2	2.5	christo	1982
2.6	1	2.5	3	christo	1982
2.8	1	2	2.5	christo	1982
1.2	1	1.2	1.6	arakawa	1982
0.22	1	0.2	0.25	tuttle	1982
2.8	1	3	4	fontana	1982
0.45	1	0.6	0.8	fontana	1982
0.38	0	0.7	0.9	fontana	1982
6.2	1	4	5	fontana	1982
2.4	0	3	3.5	dorazio	1982
1.8	1	1.8	2.2	adami	1982
18	1	17	20	burri	1982
0.8	1	0.8	1	baj	1982
0.18	1	0.2	0.3	corpora	1982
0.75	1	0.7	1	pomodoro	1982
0.4	1	0.4	0.7	bury	1982
0.12	1	0.2	0.5	leparc	1982
2.8	0	4	5	vasarely	1982
1.8	0	2.8	3.2	tapies	1982
1.8	0	3.5	5	tapies	1982
0.8	1	0.8	1.2	tapies	1982
5	1	5	6	tapies	1982
0.9	0	1.2	1.6	tapies	1982
0.75	0	1	1.5	tapies	1982
3.8	0	6.5	7.5	tapies	1982
2.8	1	3	4	matta	1982
3.2	1	4	6	matta	1982
12	1	7	8	botero	1982
0.8	1	0.5	0.8	sugai	1982
0.3	1	0.1	0.2	claret	1982
0.55	1	0.6	0.8	da silva	1982
0.65	0	1	1.5	kuwayama	1982
2.5	1	2.5	3.5	arman	1982
2.4	1	2.5	3.5	arman	1982
1.8	0	2	3	arman	1982
0.32	1	0.3	0.4	messagier	1982
1.2	1	0.3	0.5	music	1982
1.2	1	1	1.5	cesar	1982
0.5	1	0.5	0.7	fautrier	1982
8	1	7	9	soulages	1982
2.6	1	2.5	3.5	clave	1982
1.8	0	2.5	3.5	clave	1982
5.5	0	5.5	6.5	clave	1982
2.2	0	3.2	3.8	lanskoy	1982
11	1	16	18	dubuffet	1982
2	0	2	2.5	arman	1982
0.9	1	0.8	1	klein	1982
1.4	0	2	3	arman	1982
0.38	0	0.6	0.8	hajdu	1982
0.95	0	1	1.5	hartung	1982
20	1	18	22	tinguely	1982
2.4	1	1.8	2.2	tinguely	1982
1.3	1	0.8	1	broodthaers	1982
1.6	1	1.5	2	chadwick	1982
0.1	1	0.1	0.2	lancaster	1982
1.1	0	2	2.5	hockney	1982
1.3	1	0.5	0.8	hockney	1982
0.9	1	1	1.5	bohier	1982
0.18	1	0.2	0.3	levee	1982
0.38	0	0.5	0.8	davie	1982
0.09	0	0.15	0.25	davie	1982
1.4	0	2.5	3	appel	1982
1.9	1	1.8	2.2	jacobsen	1982
0.6	0	1	1.5	appel	1982
3.5	1	4	6	jorn	1982
5	1	5.5	6.5	alechinsky	1982
3.8	1	4	5	alechinsky	1982
6.5	1	8	10	appel	1982
0.55	0	0.7	0.9	alechinsky	1982
0.12	1	0.1	0.2	ullrich	1982
0.8	1	0.6	0.8	appel	1982
7.5	1	5	7	antes	1982
0.75	1	0.7	0.8	graubner	1982
2.5	1	2	3	bruning	1982
2	1	1.5	2	antes	1982
3	1	3	4	wunderlich	1982
2.2	1	2.5	3.5	ramos	1982
3	1	2	3	ramos	1982
2.5	1	1.5	2.5	ramos	1982
2.8	1	1.5	2.5	ramos	1982
2.6	1	1.5	2.5	ramos	1982
2.6	1	1.5	2.5	ramos	1982
3	1	2	3	flavin	1982
0.62	1	0.5	0.8	darcangelo	1982
2.5	1	1.5	2	noland	1982
2.6	0	3	4	olitski	1982
5.6	1	5.5	6.5	twombley	1982
4	1	3.5	4.5	twombley	1982
0.48	1	0.4	0.8	jenkins	1982
0.4	1	0.5	0.7	jenkins	1982
0.22	1	0.4	0.6	bluhm	1982
0.2	1	0.3	0.4	jenkins	1982
0.2	1	0.3	0.4	bluhm	1982
0.1	0	0.2	0.3	bluhm	1982
1.4	0	2	2.5	wesselman	1982
3.8	0	5	6	rosenquist	1982
1	1	1	1.5	bill	1982
7	0	12	15	kelly	1982
0.38	0	0.6	0.8	nesbitt	1982
0.38	0	0.6	0.8	nesbitt	1982
1.2	0	2.5	3.5	schonzeit	1982
2.5	1	2.3	2.8	tobey	1982
2.7	1	2.3	2.8	tobey	1982
28	1	15	20	kooning	1982
0.5	1	0.5	0.8	paladino	1982
0.38	0	0.5	0.8	paladino	1982
3.6	1	3.5	4	clemente	1982
1.8	0	3.5	4.5	zakanitch	1982
0.45	1	0.6	0.8	chia	1982
0.1	0	0.2	0.3	kushner	1982
0.14	0	0.2	0.3	kushner	1982
0.6	1	1	1.5	schapiro	1982
0.2	1	0.2	0.3	schapiro	1982
2.8	0	5	6	zakanitch	1982
1.7	1	1	1.5	appel	1982
0.4	1	0.3	0.5	appel	1982
0.18	0	0.3	0.5	voutier	1982
0.16	0	0.3	0.5	voutier	1982
0.28	0	0.4	0.6	saura	1982
0.32	0	0.4	0.6	voss	1982
0.38	0	0.5	0.7	telemaque	1982
0.22	0	0.4	0.6	telemaque	1982
0.14	0	0.3	0.4	telemaque	1982
5.5	1	4.5	5.5	fontana	1982
2.8	1	3	3.5	hartung	1982
0.25	1	0.3	0.4	sonderborg	1982
0.35	1	0.3	0.4	bogart	1982
0.28	0	0.4	0.6	brusse	1982
0.18	0	0.3	0.5	brusse	1982
0.15	0	0.3	0.4	brusse	1982
0.55	1	0.35	0.45	haring	1982
0.18	0	0.35	0.45	cesar	1982
1.3	1	0.8	1.2	fontana	1982
1.1	1	0.8	1.2	fontana	1982
3.2	1	3	5	poliakoff	1982
0.1	0	0.1	0.15	kolar	1982
0.1	1	0.2	0.4	vandalem	1982
2.6	1	2	2.5	vasarely	1982
0.5	1	0.5	0.6	berrocal	1982
0.3	1	0.1	0.15	pomodoro	1982
1.2	1	1.5	2	sugai	1982
0.42	1	0.3	0.4	sugai	1982
1.4	1	0.8	1.2	vasarely	1982
0.8	1	0.5	0.8	wagamaker	1982
1.1	0	1.5	2	soulages	1982
6	1	5	6	fontana	1982
1.2	0	1.8	2.2	arman	1982
1.2	0	1.8	2.2	arman	1982
7	1	6	8	vasarely	1982
6.5	1	6	8	vasarely	1982
0.5	0	1	1.5	spoerri	1982
0.42	0	0.8	1.2	spoerri	1982
1.1	1	0.4	0.6	berrocal	1982
0.42	1	0.3	0.4	berrocal	1982
0.65	1	0.5	0.7	berrocal	1982
0.65	1	0.5	0.7	berrocal	1982
0.15	1	0.15	0.2	berrocal	1982
13	1	9	12	poliakoff	1982
1.9	1	1	1.5	cesar	1982
3.5	1	2.4	2.8	christo	1982
8.5	1	7	8	christo	1982
1.2	0	1.8	2.2	arman	1982
0.7	0	1.5	2	spoerri	1982
4	1	4.5	5.5	bill	1982
4.2	1	2	2.5	agam	1982
2.5	0	6	7	arman	1982
5	1	4	5	fontana	1982
1.3	1	1.5	2	kounellis	1982
0.9	1	0.8	1	dorazio	1982
2.1	1	0.9	1.2	graubner	1982
1	1	0.8	1.2	uecker	1982
5	1	4.5	5.5	jorn	1982
9.5	1	2	3	schumacher	1982
4.8	1	3.5	4.5	bruning	1982
1.7	1	1.2	1.6	richter	1982
8	1	4.5	5.5	baumeister	1982
2.2	1	1	1.5	friedlander	1982
32	1	20	25	klein	1982
0.38	0	0.5	0.9	deux	1982
0.26	1	0.18	0.25	chia	1982
0.45	1	0.25	0.35	gongoro	1982
0.65	1	0.5	0.8	paladino	1982
3.2	0	5	7	matta	1982
0.18	1	0.2	0.3	baruchello	1982
0.45	1	0.5	0.7	kosuth	1982
0.05	0	0.1	0.15	renouf	1982
0.45	1	0.5	0.7	kosuth	1982
0.08	1	0.1	0.15	visser	1982
1	1	0.7	0.9	long	1982
0.07	0	0.1	0.15	weiner	1982
0.05	0	0.1	0.15	andre	1982
0.12	0	0.2	0.3	law	1982
0.22	1	0.1	0.15	brouwn	1982
0.2	1	0.2	0.3	brouwn	1982
0.4	1	0.5	0.8	hoyland	1982
0.06	0	0.15	0.25	gladwell	1982
0.3	1	0.18	0.22	frost	1982
2.6	1	2.5	3.5	caro	1982
0.18	1	0.1	0.15	fulton	1982
0.16	0	0.2	0.3	barry	1982
1.2	1	1	1.5	riley	1982
0.2	1	0.18	0.25	self	1982
0.03	1	0.05	0.1	stevenson	1982
0.22	1	0.4	0.6	boshier	1982
0.38	1	0.4	0.6	butler	1982
2.4	1	1.2	1.8	jones	1982
1.6	1	1.4	1.8	hockney	1982
0.2	1	0.15	0.2	jenkins	1982
1.9	0	2	2.5	schonzeit	1982
1.5	1	1.5	1.7	hockney	1982
0.05	1	0.1	0.2	bluhm	1982
0.45	0	0.6	0.7	nesbitt	1982
0.6	1	0.6	0.7	nesbitt	1982
3.8	1	4.5	5.5	harvard	1982
0.35	1	0.35	0.45	lewitt	1982
0.8	1	0.8	1	hartung	1982
1.5	0	3	4	twombley	1982
2.2	0	4.5	5.5	twombley	1982
0.5	1	0.5	0.8	lindner	1982
0.18	0	0.3	0.5	lichtenstein	1982
6.5	1	5	7	rosenquist	1982
4.2	0	7	8	appel	1982
0.4	1	0.4	0.6	lichtenstein	1982
4	0	5	6	lennon	1982
12	0	12	15	kooning	1982
1.7	0	1.8	2	wesselman	1983
0.8	1	0.8	1	calder	1983
1.6	1	1.5	2	rauschenberg	1983
2.6	1	2.5	3.5	christo	1983
2.5	1	3	3.5	christo	1983
0.25	1	0.3	0.4	hadzi	1983
1.4	1	1	1.5	tapies	1983
6.5	1	5	7	arakawa	1983
4	1	4	5	warhol	1983
7.5	1	3	4	calder	1983
2.6	1	1.5	1.8	calder	1983
0.55	1	0.7	0.9	hartigan	1983
1.1	1	0.6	0.7	schoonhoven	1983
1.2	1	0.8	1	fontana	1983
6.25	1	4	5	arakawa	1983
3	1	3.5	4.5	pomodoro	1983
3.8	1	4	4.5	christo	1983
4.8	1	5	6	olitski	1983
13	1	7	8	fontana	1983
3.8	1	3.5	4.5	bill	1983
6	1	1.2	1.6	bill	1983
1.9	1	1.2	1.6	fontana	1983
1.8	1	1.2	1.6	fontana	1983
0.8	1	0.8	1.2	lucebert	1983
4	1	4	5	appel	1983
1.5	0	2	2.5	appel	1983
1.1	1	0.5	0.7	fpedersen	1983
8	1	5	6	esteve	1983
3	0	5	7	matta	1983
1.7	1	1.5	2	appel	1983
0.38	1	0.4	0.6	cruzdiez	1983
1.6	0	2.5	3	poliakoff	1983
1.8	1	1.8	2.2	lanskoy	1983
2.6	1	2.5	3.2	poliakoff	1983
0.8	1	1	1.2	atlan	1983
0.55	1	0.25	0.35	kolar	1983
0.32	1	0.1	0.15	kolar	1983
0.28	1	0.1	0.15	kolar	1983
0.3	1	0.3	0.4	hajdu	1983
0.6	1	0.6	0.8	dali	1983
0.75	1	0.7	0.9	dali	1983
1.4	1	1.2	1.6	dubuffet	1983
1.3	1	1.3	1.5	arp	1983
16	1	14	18	riopelle	1983
5	1	5	6	vasarely	1983
2.4	0	3	4	clave	1983
13	1	12	16	hundertwasser	1983
0.15	1	0.3	0.4	matta	1983
0.22	1	0.3	0.4	matta	1983
1.1	1	1.2	1.5	riopelle	1983
1.2	0	1.3	1.5	matta	1983
1.8	1	1.4	1.8	wouki	1983
18	1	25	35	fautrier	1983
7.5	1	6	7	nay	1983
4.8	1	5	6	nay	1983
13.5	1	10	15	baumeister	1983
7	1	5	6	schumacher	1983
2.7	1	3.5	4.5	alechinsky	1983
8	1	10	12	klapheck	1983
1.6	1	1.2	1.5	dahmen	1983
1.7	1	1.2	1.6	chadwick	1983
0.25	1	0.24	0.28	auerbach	1983
1	1	0.6	0.8	paolozzi	1983
1.2	1	1	1.3	tobey	1983
0.18	0	0.4	0.5	cohen	1983
0.06	1	0.15	0.25	crozier	1983
62	1	20	30	hockney	1983
0.32	1	0.3	0.4	pomodoro	1983
0.7	1	0.25	0.35	pomodoro	1983
7	1	7	8	fontana	1983
1.8	1	2	3	santomaso	1983
2.6	1	2.5	3	manzoni	1983
4	1	4	5	fontana	1983
4.5	1	4.5	5.5	adami	1983
1.6	1	1.5	2	gnoli	1983
2.4	1	2	3	fontana	1983
2.8	0	5	6	gnoli	1983
10	1	6	8	fontana	1983
10	1	7	9	chia	1983
1.8	1	1.7	2	chia	1983
0.8	1	0.8	1.2	chia	1983
5.5	1	3.5	4.5	paladino	1983
2.4	0	3.2	3.6	appel	1983
2.8	1	3	3.5	appel	1983
8.5	1	12	16	appel	1983
0.8	1	0.6	0.8	rooskens	1983
1.15	1	0.8	1	lucebert	1983
2	0	2.5	3	appel	1983
1	0	2.5	3.5	appel	1983
1.25	1	8	10	jorn	1983
0.75	0	1.5	2	kolar	1983
1	1	0.1	0.15	kolar	1983
2.2	1	0.15	0.2	kolar	1983
0.45	0	0.9	1.2	kolar	1983
1.4	0	1.4	1.7	mack	1983
1.9	1	1.5	1.8	vocker	1983
6.5	1	5	8	klapheck	1983
2.8	1	2.5	3	wunderlich	1983
5	0	5	6	grieshaber	1983
16	1	7	9	schumacher	1983
0.5	1	0.7	0.8	piene	1983
0.65	0	1	1.5	korab	1983
1.5	1	0.6	0.9	baselitz	1983
1.8	1	3	3.5	klapheck	1983
1.4	0	2	3	meierdenninghoff	1983
11	1	10	15	lupertz	1983
6.5	1	6	8	lupertz	1983
1.9	1	1	1.5	clave	1983
1.2	1	0.8	1.2	matta	1983
1.4	0	2	2.5	tapies	1983
0.32	1	0.15	0.25	arman	1983
3.8	1	4	5	lanskoy	1983
1.2	0	3	4	cane	1983
2	1	3	4	tapies	1983
2.2	0	2.5	3	tapies	1983
0.1	1	0.1	0.2	clave	1983
1.2	0	1.8	2.2	vasarely	1983
7.5	0	8	12	tapies	1983
43	1	30	40	dubuffet	1983
3.8	1	4	5	lanskoy	1983
1.8	0	1.8	2.2	lanskoy	1983
2.2	1	2.2	2.6	villegle	1983
1.4	0	2	2.5	villegle	1983
1.9	0	2	3	lennon	1983
14	1	15	20	hockney	1983
1.5	1	1.5	2	phillips	1983
6	1	4.5	5.5	jones	1983
15	1	5	8	hodgkin	1983
0.25	0	0.4	0.6	jones	1983
0.65	1	0.7	0.9	hockney	1983
1	1	1	1.5	hockney	1983
0.07	0	0.2	0.3	organ	1983
4.5	1	5	6	jones	1983
17	1	10	15	jenney	1983
5.5	1	2.8	3.2	christo	1983
4	1	3	4	christo	1983
1.2	0	1.5	1.8	anuskiewicz	1983
0.9	0	1.2	1.5	heizer	1983
0.9	0	1.2	1.5	heizer	1983
3	1	3.5	5	tobey	1983
2.2	1	2	2.5	toledo	1983
3.5	1	2.5	3	noland	1983
6	1	5	6	christo	1983
2	1	1.5	2.5	schonzeit	1983
1.4	1	1.5	2	calder	1983
1	1	1	1.2	calder	1983
1.3	1	1.2	1.5	calder	1983
4.2	1	3	3.5	christo	1983
1.1	1	0.8	1.2	wesselman	1983
5	1	4	6	dean	1983
4.5	1	2	3	botero	1983
0.5	1	0.2	0.3	price	1983
1.5	1	1.5	1.8	martin	1983
14	1	10	12	christo	1983
1.1	1	0.8	1	wesselman	1983
0.55	1	0.5	0.7	warhol	1983
0.85	1	0.25	0.4	clarke	1983
2.2	1	2	2.5	jenkins	1983
5	1	4.5	5.5	arakawa	1983
13.5	1	10	15	warhol	1983
4.6	1	3	4	dine	1983
6.2	1	5	6	francis	1983
10	0	10	15	riopelle	1983
1.55	0	2	2.5	hofman	1983
